Language,Algorithm,Input Entropy [bits/symbol],Input Size [bytes],Encode time [s],Decode time [s],Compressed Size [bytes],Entropy [bits/symbol],Average Code Length [bits/symbol],Ratio,Information Gain [bytes],Efficiency,Redundancy [bits/symbol],Stability Mean [s],Stability Min [s],Stability Max [s],Memory Usage [MiB],CPU Usage [%]
English,ANS,4.360543687282247,94007.0,0.11847064733505246,0.005617182254791204,91321.0,3.086222295092739,3.086222295092739,0.9714276596423672,2686.0,1.0,0.0,0.11570668065547939,0.10586538314819333,0.164177713394165,87.0490234375,99.59299999999999
English,Arithmetic,4.360543687282247,94007.0,8.917450630664826,8.039458062648773,488.0,3.325664151738668,3.325664151738668,0.0051911027902177,93519.0,1.0,0.0,8.891386642456055,8.891386642456055,8.891386642456055,91.2916796875,98.87100000000001
English,Huffman,4.360543687282247,94007.0,0.006834995746612496,0.023473553657531693,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.006622626781463576,0.006622626781463576,0.006622626781463576,84.8422265625,39.99
French,ANS,4.444386490893333,84424.0,0.10945768833160395,0.004897527694702103,82513.0,3.162742317218504,3.162742317218504,0.9773642566094948,1911.0,1.0,0.0,0.10780176863670345,0.09843106985092158,0.1525649213790893,94.140234375,98.49799999999999
French,Arithmetic,4.444386490893333,84424.0,7.925088260173798,7.153600955009461,448.0,3.325650651897344,3.325650651897344,0.0053065479010707,83976.0,1.0,0.0,7.935296459197998,7.935296459197998,7.935296459197998,91.2841796875,98.98899999999999
French,Huffman,4.444386490893333,84424.0,0.006327173709869338,0.021394476890563917,46249.25,0.9948176209895252,4.484069176978173,0.5478211172178528,38174.75,0.22185599323423807,3.4892515559886483,0.006064968109130808,0.006064968109130808,0.006064968109130808,85.990078125,36.342000000000006
Hungary,ANS,4.716650978285431,85907.0,0.10461138725280758,0.004670023918151811,79805.0,3.1096346157886,3.1096346157886,0.9289696997916352,6102.0,1.0,0.0,0.10238143172264096,0.09519813060760493,0.14620835542678828,94.7104296875,99.37799999999999
Hungary,Arithmetic,4.716650978285431,85907.0,7.366636953353882,6.954773166179657,432.0,3.325650379039411,3.325650379039411,0.005028693820061201,85475.0,1.0,0.0,7.38900954246521,7.38900954246521,7.38900954246521,95.01296875,98.88
Hungary,Huffman,4.716650978285431,85907.0,0.006223747730255076,0.02201982021331782,47388.125,0.9959374279952152,4.75039157947497,0.5516212299346969,38518.875,0.2096537540817403,3.7544541514797545,0.0060610866546630384,0.0060610866546630384,0.0060610866546630384,94.568203125,35.887
Polish,ANS,4.760101340798769,84709.0,0.09855888128280635,0.00487007141113276,76569.0,3.171711960240968,3.171711960240968,0.903906314559256,8140.0,1.0,0.0,0.09611619114875788,0.08961201429367062,0.13726665496826168,95.0828125,98.656
Polish,Arithmetic,4.760101340798769,84709.0,6.881776206493377,6.396274261474609,416.0,3.3256511428173097,3.3256511428173097,0.0049109303615908,84293.0,1.0,0.0,6.896693384647369,6.896693384647369,6.896693384647369,92.9193359375,98.941
Polish,Huffman,4.760101340798769,84709.0,0.006516184806823685,0.021991417407989457,45850.125,0.996254082619208,4.790463503506641,0.5412662763106636,38858.875,0.2079661147381554,3.794209420887433,0.00631621599197383,0.00631621599197383,0.00631621599197383,95.1341796875,40.185
